chunk_id,source_type,source_name,file_name,file_path,chunk_index_in_file,chunk_size_words,overlap_words,chunk_words,chunk_chars,chunk_preview,chunk_text
pdf_Farming_Schemes_0001_000001,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,/content/drive/MyDrive/Colab Notebooks/Shruti/AgriGenius_Project/outputs/run_20260209_185402/text_extracted/Farming_Schemes_pdf.txt,1,220,50,220,1514,COMPENDIUM OF GOVERNMENT OF INDIA SCHEMES AND PROGRAMMES RELEVANT TO THE NORTH EASTERN STATES Compiled by: NERCORMP NORTH EASTERN REGION COMMUNITY RESOURCE MANAGEMENT PROJECT SHILLONG - 793 003 November 2020 1 CONTENTS N,"COMPENDIUM OF GOVERNMENT OF INDIA SCHEMES AND PROGRAMMES RELEVANT TO THE NORTH EASTERN STATES Compiled by: NERCORMP NORTH EASTERN REGION COMMUNITY RESOURCE MANAGEMENT PROJECT SHILLONG - 793 003 November 2020 1 CONTENTS Name of Schemes Page No. 1. Ministry of Agriculture & Farmers Welfare 1.1 Minimum Support Price Scheme 10 1.2 Marketing research and information network (under Integrated Scheme for Agricultural Marketing -ISAM) 11 1.3 Central Herd Registration Scheme 12 1.4 National Food Security Mission 13 1.5 Rashtriya Krishi Vikas Yojana Remunerative Approaches for Agriculture and Allied sector Rejuvenation (RKVY -RAFTAAR) 15 1.6 National Mission for Sustainable Agriculture (NMSA) 16 1.7 National Innovations on Climate Resilient Agriculture (NICRA) 20 1.8 Integrated Scheme for Agricultural Marketing (ISAM) 22 1.9 Mission for Integrated Development of Horticulture (MIDH) 24 1.10 Sub-Mission on Agricultural Mechanization 26 1.11 Sub-Mission on Agroforestry (SMAF) under NMSA 28 1.12 Rainfed Area Development Programme (RADP) 30 1.13 Pradhan Mantri Fasal Bima Yojana (PMFBY) 32 1.14 Pradhan Mantri Krishi Sinchayee Yojana (PMKSY) 34 1.15 Sankalp Se Siddhi 38 2 1.16 Gramin Agricultural Markets (GrAMs) 39 2. Ministry of Fisheries, Animal Husbandry and Dairying 2.1 Assistance to Fodder Block Making Units 41 2.2 Fodder Seed Procurement and Distribution 42 2.3 Assistance for Introduction of Hand Driven Chaff Cutter 43 2.4 Assistance for Establishment of Area Specific Mineral Mixture / Feed Pelleting"
pdf_Farming_Schemes_0002_000002,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,/content/drive/MyDrive/Colab Notebooks/Shruti/AgriGenius_Project/outputs/run_20260209_185402/text_extracted/Farming_Schemes_pdf.txt,2,220,50,220,1440,"Gramin Agricultural Markets (GrAMs) 39 2. Ministry of Fisheries, Animal Husbandry and Dairying 2.1 Assistance to Fodder Block Making Units 41 2.2 Fodder Seed Procurement and Distribution 42 2.3 Assistance for Introductio","Gramin Agricultural Markets (GrAMs) 39 2. Ministry of Fisheries, Animal Husbandry and Dairying 2.1 Assistance to Fodder Block Making Units 41 2.2 Fodder Seed Procurement and Distribution 42 2.3 Assistance for Introduction of Hand Driven Chaff Cutter 43 2.4 Assistance for Establishment of Area Specific Mineral Mixture / Feed Pelleting / Feed Manufacturing Unit 43 2.5 National Livestock Mission (NLM) 44 3. Ministry of Commerce and Industry 3.1 Export Promotion Capital Goods (EPCG) 47 3.2 Geographical Indications Registry 48 3.3 National Programme for Organic Production (NPOP) 50 3.4 Focus Product Scheme (FPS) 52 3.5 Marketing Development Assistance (MDA) Scheme 52 4. Ministry of Consumer Affairs, Food and Public Distribution 4.1 Price Stabilization Fund (PSF) 57 5. Ministry of Culture 5.1 Centre for Cultural Resources and Training (CCRT) 59 3 5.2 National Culture Fund (NCF) 60 5.3 Guru Shishya Parampara Scheme 62 5.4 Young Talented Artistes Scheme 63 5.5 Cultural Function and Production Grant Scheme (CFPGS) 64 5.6 Seva Bhoj Yojna 65 6. Ministry for Development of North Eastern Region 6.1 North East Special Infrastructure Development Schemes (NESIDS) 68 6.2. North Eastern Council 6.2.1 Schemes of the North Eastern Council 69 6.2.2 Guidelines for selecting proposals under head for Promotion of North Eastern Region [para 2.6 (viii) of NEC General Guidelines 2020] 70 6.2.3 North East Road Sector Development Scheme (NERSDS)"
pdf_Farming_Schemes_0003_000003,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,/content/drive/MyDrive/Colab Notebooks/Shruti/AgriGenius_Project/outputs/run_20260209_185402/text_extracted/Farming_Schemes_pdf.txt,3,220,50,220,1466,North East Special Infrastructure Development Schemes (NESIDS) 68 6.2. North Eastern Council 6.2.1 Schemes of the North Eastern Council 69 6.2.2 Guidelines for selecting proposals under head for Promotion of North Easter,"North East Special Infrastructure Development Schemes (NESIDS) 68 6.2. North Eastern Council 6.2.1 Schemes of the North Eastern Council 69 6.2.2 Guidelines for selecting proposals under head for Promotion of North Eastern Region [para 2.6 (viii) of NEC General Guidelines 2020] 70 6.2.3 North East Road Sector Development Scheme (NERSDS) 74 6.2.4 Financial Support to the Students of N.E.R for Higher Professional Courses 75 7. Ministry of Jal Shakti 7.1 Nirmal Gram Puraskar (NGP) 78 7.2 Swachh Bharat Mission Gramin 80 7.3 Swajal 82 7.4 Jal Jeevan Mission (JJM) 83 4 8. Ministry of Environment, Forest and Climate Change 8.1 National Afforestation Programme 85 9. Ministry of Finance 9.1 National Pension System (NPS) 88 9.2 Pradhan Mantri Jan Dhan Yojana (PMJDY) 90 9.3 Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) 91 9.4 Pradhan Mantri Suraksha BimaYojana (PMSBY) 93 9.5 Atal Pension Yojana (APY) 94 10. Ministry of Food Processing Industries 10.1 Mega Food Park 96 10.2 Promotional Activities through National /International Exhibitions/ Fairs and Studies/Surveys, Workshops, Seminars 99 10.3 Revised Operational Guidelines of the Scheme for Integrated Cold Chain and Value Addition Infrastructure 104 10.4 Pradhan Mantri Kisan SAMPADA Yojana (Scheme for Agro -Marine Processing and Development of Agro -Processing Clusters) 107 11. Ministry of Health and Family Welfare 11.1 National Iodine Deficiency Disorders Control Programme (NIDDCP) 118 11.2 National"
pdf_Farming_Schemes_0004_000004,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,/content/drive/MyDrive/Colab Notebooks/Shruti/AgriGenius_Project/outputs/run_20260209_185402/text_extracted/Farming_Schemes_pdf.txt,4,220,50,220,1531,Operational Guidelines of the Scheme for Integrated Cold Chain and Value Addition Infrastructure 104 10.4 Pradhan Mantri Kisan SAMPADA Yojana (Scheme for Agro -Marine Processing and Development of Agro -Processing Cluste,"Operational Guidelines of the Scheme for Integrated Cold Chain and Value Addition Infrastructure 104 10.4 Pradhan Mantri Kisan SAMPADA Yojana (Scheme for Agro -Marine Processing and Development of Agro -Processing Clusters) 107 11. Ministry of Health and Family Welfare 11.1 National Iodine Deficiency Disorders Control Programme (NIDDCP) 118 11.2 National Mental Health Program (NMHP) 120 11.3 National Leprosy Eradication Programme (NLEP) 126 5 11.4 Universal Immunisation Programme 128 11.5 National Vector Borne Diseases Control Programme 132 11.6 Integrated Disease Surveillance Programme (IDSP) 135 11.7 Janani Suraksha Yojana (JSY) 137 11.8 National Programme for Prevention and Control of Deafness (NPPCD) 139 11.9 Rashtriya Swasthya Bima Yojana (RSBY) 142 11.10 National Programme for Prevention and Control of Cancer, Diabetes, Cardiovascular Diseases and Stroke (NPCDCS) 143 11.11 National Programme for Health Care of the Elderly (NPHCE) 145 11.12 Janani Shishu Suraksha Karyakram (JSSK) 148 11.13 National Health Mission (NHM) 150 11.14 Rashtriya Bal Swasthya Karyakram (RBSK) 152 11.15 Home Based Newborn Care (HBNC) 155 11.16 National Urban Health Mission (NUHM) 157 11.17 Revised National TB Control Programme (RNTCP) 158 12. Ministry of Housing and Urban Affairs 12.1 Lumpsum Provision scheme for the benefit of NER Including Sikkim 165 12.2 Deendayal Antyodaya Yojana -National Urban Livelihoods Mission 166 12.3 Pradhan Mantri Awas Yojana 168 6 13. Ministry of Human Resource Development 13.1 Rashtriya Uchchatar"
pdf_Farming_Schemes_0005_000005,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,/content/drive/MyDrive/Colab Notebooks/Shruti/AgriGenius_Project/outputs/run_20260209_185402/text_extracted/Farming_Schemes_pdf.txt,5,220,50,220,1528,National TB Control Programme (RNTCP) 158 12. Ministry of Housing and Urban Affairs 12.1 Lumpsum Provision scheme for the benefit of NER Including Sikkim 165 12.2 Deendayal Antyodaya Yojana -National Urban Livelihoods Mi,"National TB Control Programme (RNTCP) 158 12. Ministry of Housing and Urban Affairs 12.1 Lumpsum Provision scheme for the benefit of NER Including Sikkim 165 12.2 Deendayal Antyodaya Yojana -National Urban Livelihoods Mission 166 12.3 Pradhan Mantri Awas Yojana 168 6 13. Ministry of Human Resource Development 13.1 Rashtriya Uchchatar Shiksha Abhiyan (RUSA) 170 13.2 Samagra Shiksha 172 14. Ministry of Micro, Small and Medium Enterprises 14.1 International Cooperation (IC) 175 14.2 Prime Minister‟s Employment Generation Programme (PMEGP) 179 14.3 Marketing Assistance Scheme 182 14.4 Entrepreneurship and Skill Development Programme 183 14.5 Coir Vikas Yojana (CVY) 184 14.6 Khadi and Village Industries Commission 14.6.1 Pottery making activity under ""Village Industry Development Scheme (GVY)"" scheme 190 14.6.2 Beekeeping activity under ""Village Industry Development Scheme (GVY)"" scheme 191 14.6.3 Agarbati making project ""Village Industry Development Scheme (GVY)"" scheme 193 15. Ministry of Minority Affairs 15.1 The Maulana Azad Education Foundation (MAEF) 195 15.2 Seekho aur Kamao (Learn & Earn) 199 16. Ministry of New and Renewable Energy 7 16.1 Grid Connected Rooftop and Small Solar Power Plants Programme 201 17. Ministry of Rural Development 17.1 National Social Assistance Programme (NSAP) 203 17.2 Pradhan Mantri Gram Sadak Yojana (PMGSY) 204 17.3 Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) 205 17.4 Deendayal Antayodaya Yojana - National Rural Livelihoods Mission (NRLM) 208 17.5 Deen"
pdf_Farming_Schemes_0006_000006,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,/content/drive/MyDrive/Colab Notebooks/Shruti/AgriGenius_Project/outputs/run_20260209_185402/text_extracted/Farming_Schemes_pdf.txt,6,220,50,220,1478,and Small Solar Power Plants Programme 201 17. Ministry of Rural Development 17.1 National Social Assistance Programme (NSAP) 203 17.2 Pradhan Mantri Gram Sadak Yojana (PMGSY) 204 17.3 Mahatma Gandhi National Rural Emplo,"and Small Solar Power Plants Programme 201 17. Ministry of Rural Development 17.1 National Social Assistance Programme (NSAP) 203 17.2 Pradhan Mantri Gram Sadak Yojana (PMGSY) 204 17.3 Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) 205 17.4 Deendayal Antayodaya Yojana - National Rural Livelihoods Mission (NRLM) 208 17.5 Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU -GKY) 209 17.6 Pradhan Mantri Awas Yojana – Gramin (PMAY -G) 211 17.7 Shyama Prasad Mukherji Rurban Mission (SPMRM) 212 18. Ministry of Textiles 18.1 Cluster Development Project of Handloom in NER under North East Textiles Promotion Scheme 214 18.2 Technological Upgradation of Handlooms in NER 218 18.3 Market promotion of North Eastern Textiles & Handloom products under NER Textile promotion scheme (NERTPS) 220 18.4 Amended Technology Upgradation Fund Scheme 231 18.5 Schemes of the National Handicraft Development Programme for development and promotion of Handicrafts Sector 233 19. Ministry of Tourism 8 19.1 Entrepreneurship Programme 267 19.2 Adopt a Heritage „Apni Dharohar, Apni Pehchaan‟ 269 20. Ministry of Tribal Affairs 20.1 Scheme of Strengthening Education among Scheduled Tribe (ST) Girls in Low Literacy Districts 272 20.2 Scheme of Grant -In-Aid to Voluntary Organisations Working For the Welfare of Scheduled Tribes 275 20.3 Vocational Training in Tribal Areas 278 20.4 Special Central Assistance (SCA) to Tribal Sub Scheme (TSS) 280 21. Ministry of Water Resources,"
pdf_Farming_Schemes_0007_000007,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,/content/drive/MyDrive/Colab Notebooks/Shruti/AgriGenius_Project/outputs/run_20260209_185402/text_extracted/Farming_Schemes_pdf.txt,7,220,50,220,1381,Education among Scheduled Tribe (ST) Girls in Low Literacy Districts 272 20.2 Scheme of Grant -In-Aid to Voluntary Organisations Working For the Welfare of Scheduled Tribes 275 20.3 Vocational Training in Tribal Areas 27,"Education among Scheduled Tribe (ST) Girls in Low Literacy Districts 272 20.2 Scheme of Grant -In-Aid to Voluntary Organisations Working For the Welfare of Scheduled Tribes 275 20.3 Vocational Training in Tribal Areas 278 20.4 Special Central Assistance (SCA) to Tribal Sub Scheme (TSS) 280 21. Ministry of Water Resources, River Development & Ganga Rejuvenation 21.1 Flood Management Programme 282 22. Ministry of Women and Child Development 22.1 Working Women Hostel 284 22.2 Support to Training and Employment Programme for Women (STEP) 287 22.3 Ujjawala 292 22.4 Nirbhaya Fund 294 22.5 Pradhan Mantri Matritva Vandana Yojana (PMMVY) 297 22.6 General Grant -in-aid (GIA) Scheme for Assistance to Voluntary Organisations in the field of Women and Child Development 298 9 22.7 Beti Bachao Beti Padhao (BBBP) 300 22.8 Swadhar Greh 301 23. Ministry of Youth Affairs and Sports 23.1 National Service Scheme (NSS) 303 23.2 National Youth Development Fund 306 23.3 National Programme for Youth and Adolescent Development 308 10 Ministry of Agriculture & Farmers Welfare 1.1 Name of Scheme: Minimum Support Price Scheme Type of scheme : Central Sector Scheme The Minimum Support Prices were announced by the Government of India for the first time in 1966 -67 for Wheat in the wake of the Green Revolution and extended harvest, to save the farmers from depleting profits. Since then, the"
pdf_Farming_Schemes_0008_000008,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,/content/drive/MyDrive/Colab Notebooks/Shruti/AgriGenius_Project/outputs/run_20260209_185402/text_extracted/Farming_Schemes_pdf.txt,8,220,50,220,1307,Support Price Scheme Type of scheme : Central Sector Scheme The Minimum Support Prices were announced by the Government of India for the first time in 1966 -67 for Wheat in the wake of the Green Revolution and extended h,"Support Price Scheme Type of scheme : Central Sector Scheme The Minimum Support Prices were announced by the Government of India for the first time in 1966 -67 for Wheat in the wake of the Green Revolution and extended harvest, to save the farmers from depleting profits. Since then, the MSP regime has been expanded to many crops. Minimum Support Price is the price at which government purchases crops from the farmers, whatever may be the price for the crops. The MSP is announced by the Government of India for 26 crops currently at the beginning of each season viz. Rabi and Kharif. They are as follows. • Cereals (7) - paddy, wheat, barley, jowar, bajra, maize and ragi • Pulses (5) - gram, arhar/tur, moong, urad and lentil • Oilseeds (8) - groundnut, rapeseed/mustard, toria, soyabean, sunflower seed, sesamum, safflower seed and nigerseed • Copra • De-husked coconut • Raw cotton • Raw jute • Sugarcane (Fair and remunerative price) • Virginia flu cured (VFC) tobacco Objectives: The minimum support prices are a guarantee price for their produce from the Government. The major objectives are to support the farmers from distress sales and to procure food grains for public distribution. In case the market price for the commodity falls below the announced minimum price due to bumper production and"
pdf_Farming_Schemes_0009_000009,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,/content/drive/MyDrive/Colab Notebooks/Shruti/AgriGenius_Project/outputs/run_20260209_185402/text_extracted/Farming_Schemes_pdf.txt,9,220,50,220,1340,support prices are a guarantee price for their produce from the Government. The major objectives are to support the farmers from distress sales and to procure food grains for public distribution. In case the market price,"support prices are a guarantee price for their produce from the Government. The major objectives are to support the farmers from distress sales and to procure food grains for public distribution. In case the market price for the commodity falls below the announced minimum price due to bumper production and glut in the market, government agencies purchase the entire quantity offered by the farmers at the announced minimum price. Salient features : If there is a fall in the prices of the crops, after a bumper harvest, the government purchases at the MSP and this is the reason that the priced cannot go below MSP. So this directly helps the farmers. The government decided the support prices for various agricultural commodities after taking into account the following: • Recommendations of Commission for Agricultural Costs and Prices 11 • Views of State Governments • Views of Ministries • Other relevant factors. Funding Pattern: MSP is price fixed by Government of India to protect the farmers against excessive fall in price during bumper production years. The minimum support prices are a guarantee price for their produce from the Government. The MSP is calculated and recommended by the CACP. For the calculation of the MSP, the CACP takes into account a comprehensive view of the entire structure of the economy of a particular"
pdf_Farming_Schemes_0010_000010,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,/content/drive/MyDrive/Colab Notebooks/Shruti/AgriGenius_Project/outputs/run_20260209_185402/text_extracted/Farming_Schemes_pdf.txt,10,220,50,220,1527,"bumper production years. The minimum support prices are a guarantee price for their produce from the Government. The MSP is calculated and recommended by the CACP. For the calculation of the MSP, the CACP takes into acco","bumper production years. The minimum support prices are a guarantee price for their produce from the Government. The MSP is calculated and recommended by the CACP. For the calculation of the MSP, the CACP takes into account a comprehensive view of the entire structure of the economy of a particular commodity or group of commodities. Other Factors include cost of production, changes in input prices, input -output price parity, trends in market prices, demand and supply, inter -crop price parity, effect on industrial cost structure, effect on cost of living, effect on general price level, international price situation, parity between prices paid and prices received by the farmers and effect on issue prices and implications for subsidy. Area of Operation: All States and Union Territories. For detail Information visit: http://www.agricoop.nic.in/recentinitiatives/minimum -support - prices -msp-and-bonus -kharif -crops -2017 -18-season 1.2 Name of Scheme: Marketing research and information network (under Integrated Scheme for Agricultural Marketing -ISAM) Type of scheme : Central Sector Scheme From 2000 -01, the government is working to establish a nationwide information network by providing electronic connectivity to important agricultural marketing boards and directorates. It will also collect and disseminate price and market -related data for its efficient and timely utilisation by producers, traders and consumers to derive maximum the advantage of their sales and purchases; increase marketing efficiency"
